Language_area;Journal;Year;Issue_ID;Vol;No;Listed_Translator;Translator;Author;Title;Genre;SL;TL;Notes
DE;GT;1946;1;1;1;Hausenstein, Wilhelm;Hausenstein, Wilhelm;Baudelaire, Charles;Gedicht: Der fröhliche Leichnam;Poetry;FR;DE;
DE;GT;1946;1;1;1;Hausenstein, Wilhelm;Hausenstein, Wilhelm;Baudelaire, Charles;Gedicht: Der schlechte Mönch;Poetry;FR;DE;
DE;GT;1946;1;1;1;Hausenstein, Wilhelm;Hausenstein, Wilhelm;Baudelaire, Charles;Gedicht: An eine Madonna;Poetry;FR;DE;
DE;GT;1946;1;1;1;Ehrenstein, Albert;Ehrenstein, Albert;Han Yü;Meine Throneingabe;Fictional prose;CH;DE;
DE;GT;1946;1;1;1;Ehrenstein, Albert;Ehrenstein, Albert;Han Yü;Gedicht: Kind stirbt unterwegs gehetzten Verbannten;Poetry;CH;DE;
DE;GT;1946;1;1;1;Ehrenstein, Albert;Ehrenstein, Albert;Han Yü;Gedicht: Kerkerlied;Poetry;CH;DE;
DE;GT;1946;1;1;1;Ehrenstein, Albert;Ehrenstein, Albert;Han Yü;Gedicht: Kung Fu Dsu zögert;Poetry;CH;DE;
DE;GT;1946;1;1;1;Kemp, Friedhelm;Kemp, Friedhelm;Jeffers, Robinson;Haus des Tor;Poetry;EN-AE;DE;
DE;GT;1946;1;1;1;Kemp, Friedhelm;Kemp, Friedhelm;Jeffers, Robinson;An die Steinmetze;Poetry;EN-AE;DE;
DE;GT;1946;1;1;1;Kemp, Friedhelm;Kemp, Friedhelm;Frost, Robert;Rast im Winterwald;Poetry;EN-AE;DE;
DE;GT;1946;2;1;2;Strassova, Helena;Strassova, Helena;Aragon, Louis;Der Flieder und die Rosen;Poetry;FR;DE;
DE;GT;1946;2;1;2;Strassova, Helena;Strassova, Helena;Cocteau, Jean;Das Dienstmädchen Anna;Poetry;FR;DE;
DE;GT;1946;3;1;3;NONE;NONE;NONE;NONE;NONE;NONE;NONE;
DE;GT;1947;4;2;1;Bertsch, Trudel;Bertsch, Trudel;Valéry, Paul;Rhumbs;Fictional prose;FR;DE;
DE;GT;1947;5;2;2;Strassova, Helena;Strassova, Helena;Cassou, Jean;Sonett I;Poetry;FR;DE;Bilingual presentation
DE;GT;1947;5;2;2;Strassova, Helena;Strassova, Helena;Cassou, Jean;Sonett V;Poetry;FR;DE;Bilingual presentation
DE;GT;1947;5;2;2;Strassova, Helena;Strassova, Helena;Cassou, Jean;Sonett VII;Poetry;FR;DE;Bilingual presentation
DE;GT;1947;6;2;3_4;Kemp, Friedhelm;Kemp, Friedhelm;Swinburne, Algernon Charles;Ave Atque Vale: Charles Baudelaire zum Gedächtnis;Life-writing;EN-BE;DE;
DE;GT;1947;6;2;3_4;Peterich, Eckart;Peterich, Eckart;Montale, Eugenio;Aus den „Ossi di seppia“ (1916-1927);Poetry;IT;DE;
DE;GT;1947;6;2;3_4;Peterich, Eckart;Peterich, Eckart;Montale, Eugenio;Aus den „Occasioni“ (1928-1939);Poetry;IT;DE;
DE;GT;1947;6;2;3_4;Bertsch, Trudel;Bertsch, Trudel;Claudel, Paul;Sommergedicht;Poetry;FR;DE;
DE;GT;1947;7;2;5;Kemp, Friedhelm;Kemp, Friedhelm;Rossetti, Christina;Echo;Poetry;EN-BE;DE;
DE;GT;1947;7;2;5;Strassova, Helena;Strassova, Helena;Toesca, Maurice;Paradoxe über Frauen;Non-fictional prose;FR;DE;
DE;GT;1947;8;2;6;Schering, Emil;Schering, Emil;Strindberg, August;Das Jenseits;Fictional prose;SE;DE;Working from manuscript
DE;GT;1947;8;2;6;Bukofzer, Werner;Bukofzer, Werner;Kipling, Rudyard;Vampir;Poetry;EN-BE;DE;
DE;GT;1947;8;2;6;Bukofzer, Werner;Bukofzer, Werner;Kipling, Rudyard;Mutter Du Mein;Poetry;EN-BE;DE;
DE;GT;1947;8;2;6;Günther, Johann von;Günther, Johann von;Kamenskij, Wassilij;Frühling des Volkes;Poetry;RU;DE;
DE;GT;1947;8;2;6;Günther, Johann von;Günther, Johann von;Majakowskij, Wladimir;Erlaß an die Armee der Kunst;Poetry;RU;DE;
